weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,wind.gust,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,rain.1h,message,snow.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817034.0,3600.0,237379.0,Ndélé,200,20.6473,8.4109,97.74,92.91,97.74,97.74,1005.0,12.0,5.93,17.0,7.87,60.0,,,CF,1641790481.0,1641832475.0,1005.0,951.0,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1641816958.0,-10800.0,3899695.0,Ancud,200,-73.8203,-41.8697,60.24,60.06,60.22,65.43,1018.0,87.0,5.01,354.0,8.55,46.0,2.0,2043823.0,CL,1641807168.0,1641861144.0,1018.0,1012.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1641817037.0,7200.0,1006984.0,East London,200,27.9116,-33.0153,79.74,79.74,79.74,79.74,1006.0,69.0,5.75,80.0,,0.0,1.0,1912.0,ZA,1641784220.0,1641835248.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817038.0,7200.0,1015776.0,Bredasdorp,200,20.0403,-34.5322,78.12,78.31,78.12,78.28,1005.0,57.0,9.22,220.0,,73.0,1.0,1966.0,ZA,1641785883.0,1641837364.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1641817039.0,20700.0,1282635.0,Tulsīpur,200,82.2973,28.131,54.07,52.99,54.07,54.07,1015.0,81.0,1.5,226.0,2.13,9.0,2.0,2021660.0,NP,1641777822.0,1641815533.0,1015.0,938.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1641817014.0,39600.0,2163355.0,Hobart,200,147.3294,-42.8794,57.4,56.32,55.11,58.86,1020.0,74.0,1.14,210.0,,75.0,2.0,2002195.0,AU,1641753853.0,1641808279.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1641817042.0,39600.0,2137773.0,Vao,200,167.4833,-22.6667,76.78,77.83,76.78,76.78,1011.0,78.0,24.43,133.0,25.9,67.0,,,NC,1641752055.0,1641800399.0,1011.0,1001.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1641817026.0,7200.0,3366880.0,Hermanus,200,19.2345,-34.4187,78.8,78.8,77.9,78.8,1007.0,62.0,23.73,278.0,31.47,11.0,2.0,2006131.0,ZA,1641786094.0,1641837540.0,1007.0,1003.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817044.0,-3600.0,3372707.0,Ribeira Grande,200,-28.7,38.5167,57.6,56.91,57.6,57.6,1013.0,82.0,16.11,310.0,32.21,75.0,1.0,6883.0,PT,1641805926.0,1641840723.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817045.0,10800.0,752584.0,Akçakoca,200,31.1162,41.0866,54.18,52.59,54.18,54.18,1003.0,70.0,1.39,293.0,5.95,100.0,,,TR,1641792006.0,1641825924.0,1003.0,998.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1641817048.0,0.0,2510573.0,Teguise,200,-13.564,29.0605,62.82,62.19,62.82,62.82,1021.0,72.0,11.5,90.0,,20.0,1.0,2379.0,ES,1641800946.0,1641838435.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817049.0,25200.0,1214488.0,Meulaboh,200,96.1285,4.1363,78.82,78.82,78.82,78.82,1010.0,81.0,7.52,290.0,10.67,100.0,,,ID,1641771944.0,1641814771.0,1010.0,1009.0,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1641817050.0,7200.0,3359638.0,Walvis Bay,200,14.5053,-22.9575,76.15,75.96,72.09,76.15,1013.0,53.0,11.5,260.0,,35.0,1.0,2288.0,NA,1641788754.0,1641837151.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,6000.0,1641817051.0,-3600.0,3372760.0,Praia da Vitória,200,-27.0667,38.7333,59.25,59.58,59.25,60.76,1014.0,100.0,20.71,183.0,27.0,75.0,1.0,6895.0,PT,1641805569.0,1641840296.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1641817052.0,-18000.0,5133832.0,Ridge,200,-72.8959,40.894,29.5,22.48,26.82,31.03,1018.0,59.0,7.0,283.0,20.0,0.0,2.0,2003012.0,US,1641816931.0,1641850938.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1641817054.0,-34200.0,4020109.0,Atuona,200,-139.0333,-9.8,78.33,79.43,78.33,78.33,1013.0,76.0,16.46,81.0,18.01,20.0,,,PF,1641827037.0,1641872586.0,1013.0,1005.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817055.0,28800.0,2075265.0,Busselton,200,115.3333,-33.65,70.05,69.06,70.05,72.09,1017.0,49.0,12.95,168.0,18.99,99.0,2.0,2020551.0,AU,1641763132.0,1641814362.0,1017.0,1017.0,,,
"[{'id': 301, 'main': 'Drizzle', 'description': 'drizzle', 'icon': '09d'}]",stations,10000.0,1641816906.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,49.66,43.7,49.66,55.02,976.0,66.0,17.27,230.0,,100.0,1.0,8303.0,AR,1641802417.0,1641863245.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817057.0,46800.0,4032243.0,Vaini,200,-175.2,-21.2,75.36,77.31,75.36,75.36,1012.0,100.0,5.75,10.0,,100.0,1.0,7285.0,TO,1641920950.0,1641968886.0,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1641817058.0,-12600.0,6167817.0,Torbay,200,-52.7314,47.6666,44.33,39.0,42.28,45.57,997.0,92.0,10.0,270.0,21.99,100.0,2.0,2027403.0,CA,1641813439.0,1641844749.0,,,0.51,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817061.0,-10800.0,3461425.0,Ilhabela,200,-45.3581,-23.7781,76.26,77.16,76.26,76.26,1012.0,76.0,1.97,261.0,3.18,96.0,,,BR,1641803031.0,1641851616.0,1012.0,1011.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817062.0,-10800.0,3402429.0,Caucaia,200,-38.6531,-3.7361,83.57,89.87,83.03,86.07,1012.0,71.0,9.22,120.0,,75.0,2.0,2008290.0,BR,1641803537.0,1641847891.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,5819.0,1641817063.0,39600.0,2125906.0,Dukat,200,155.55,62.55,-18.13,-29.4,-18.13,-18.13,1029.0,99.0,3.8,305.0,3.4,100.0,,,RU,1641769049.0,1641789135.0,1029.0,928.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1641817064.0,32400.0,2018735.0,Nyurba,200,118.3319,63.2842,-29.27,-41.46,-29.27,-29.27,1028.0,97.0,3.51,142.0,3.27,23.0,,,RU,1641778479.0,1641797575.0,1028.0,1011.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1641817066.0,0.0,2248777.0,Marsassoum,200,-15.9806,12.8275,90.84,86.61,90.84,90.84,1013.0,11.0,13.82,54.0,18.72,83.0,,,SN,1641799714.0,1641840828.0,1013.0,1011.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817068.0,32400.0,2112309.0,Katsuura,200,140.3,35.1333,47.7,43.07,46.15,48.18,1019.0,72.0,10.33,52.0,11.43,94.0,2.0,20334.0,JP,1641764848.0,1641800658.0,1019.0,1019.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817069.0,-10800.0,3421765.0,Nanortalik,200,-45.2371,60.1432,19.69,7.09,19.69,19.69,984.0,78.0,13.65,319.0,20.49,99.0,,,GL,1641815800.0,1641838789.0,984.0,984.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,1930.0,1641817071.0,25200.0,1507390.0,Dikson,200,80.5464,73.5069,-23.04,-35.64,-23.04,-23.04,1004.0,100.0,6.53,198.0,6.2,100.0,,,RU,0.0,0.0,1004.0,998.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1641817072.0,3600.0,779622.0,Havøysund,200,24.6622,70.9963,34.03,22.26,32.88,34.03,1019.0,84.0,21.5,241.0,26.42,100.0,1.0,1638.0,NO,0.0,0.0,1019.0,1019.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1641817073.0,-36000.0,5848280.0,Kapaa,200,-159.319,22.0752,68.32,68.76,68.32,69.78,1014.0,83.0,9.22,210.0,,20.0,1.0,7873.0,US,1641835099.0,1641874265.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1641817075.0,32400.0,1651591.0,Amahai,200,128.9167,-3.3333,80.22,85.3,80.22,80.22,1010.0,84.0,0.98,64.0,3.87,83.0,,,ID,1641763347.0,1641807625.0,1010.0,1010.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817076.0,10800.0,151872.0,Ndago,200,34.35,-4.6,83.86,82.45,83.86,83.86,1007.0,35.0,5.88,287.0,7.9,100.0,,,TZ,1641785926.0,1641830451.0,1007.0,858.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1641817077.0,3600.0,3175096.0,Laas,200,10.7002,46.6166,36.25,29.88,34.68,41.68,1018.0,80.0,8.25,339.0,9.95,95.0,1.0,6813.0,IT,1641797985.0,1641829746.0,1018.0,914.0,,,
