weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.country,sys.sunrise,sys.sunset,sys.type,sys.id,message,rain.1h,snow.1h
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669519.0,39600.0,2121025.0,Srednekolymsk,200,153.6833,67.45,277.52,274.76,277.52,277.52,1018.0,72.0,1018.0,1016.0,3.19,216.0,4.51,78.0,RU,1627661052.0,1627731538.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627669520.0,43200.0,6201424.0,Mataura,200,168.8643,-46.1927,281.75,281.75,281.75,281.75,1012.0,99.0,1012.0,1005.0,0.86,301.0,1.33,100.0,NZ,1627675579.0,1627709724.0,2.0,2008959.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669520.0,-32400.0,4030556.0,Rikitea,200,-134.9692,-23.1203,295.21,295.27,295.21,295.21,1015.0,69.0,1015.0,1012.0,1.66,296.0,2.21,68.0,PF,1627659298.0,1627699046.0,,,,,
"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",stations,10000.0,1627669520.0,19800.0,1263911.0,Māndalgarh,200,75.1,25.2,299.26,299.26,299.26,299.26,1000.0,83.0,1000.0,956.0,5.81,240.0,12.08,100.0,IN,1627604745.0,1627652767.0,,,,1.15,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627669520.0,36000.0,2160517.0,Launceston,200,147.1667,-41.45,283.32,282.74,280.08,283.95,1005.0,90.0,,,1.34,307.0,4.02,90.0,AU,1627680047.0,1627715671.0,2.0,2031746.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669520.0,-34200.0,4020109.0,Atuona,200,-139.0333,-9.8,298.31,298.87,298.31,298.31,1015.0,76.0,1015.0,1007.0,8.97,91.0,9.07,80.0,PF,1627659123.0,1627701172.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627669520.0,-36000.0,4035715.0,Avarua,200,-159.775,-21.2078,292.18,292.44,292.18,292.18,1018.0,88.0,,,1.03,90.0,,20.0,CK,1627665073.0,1627705177.0,1.0,7271.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669520.0,3600.0,2514651.0,Los Llanos de Aridane,200,-17.9182,28.6585,295.44,295.89,294.01,295.44,1016.0,83.0,,,8.23,20.0,,75.0,ES,1627626715.0,1627675445.0,2.0,2002582.0,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1627669520.0,-10800.0,3833367.0,Ushuaia,200,-68.3,-54.8,275.96,269.91,275.96,276.94,995.0,87.0,,,9.77,230.0,,75.0,AR,1627647921.0,1627678423.0,1.0,8303.0,,0.13,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627669520.0,43200.0,2110227.0,Butaritari,200,172.7902,3.0707,300.64,303.53,300.64,300.64,1010.0,76.0,1010.0,1010.0,2.59,103.0,2.76,64.0,KI,1627669655.0,1627713764.0,,,,0.52,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669520.0,-10800.0,3841956.0,Paraná,200,-60.5238,-31.732,290.47,288.94,290.07,290.69,1024.0,26.0,1024.0,1017.0,5.48,10.0,7.17,0.0,AR,1627642306.0,1627680305.0,2.0,2019769.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627669521.0,18000.0,1337613.0,Kulhudhuffushi,200,73.07,6.6221,301.17,304.7,301.17,301.17,1013.0,76.0,1013.0,1013.0,4.31,282.0,4.97,76.0,MV,1627606897.0,1627651590.0,,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627669521.0,18000.0,1486321.0,Yar-Sale,200,70.8333,66.8333,281.4,277.88,281.4,281.4,999.0,94.0,999.0,999.0,6.87,134.0,11.7,95.0,RU,1627594933.0,1627664628.0,,,,0.21,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627669521.0,-25200.0,5354943.0,Half Moon Bay,200,-122.4286,37.4636,294.16,294.25,286.9,303.84,1015.0,74.0,,,0.45,241.0,2.24,40.0,US,1627650748.0,1627701576.0,2.0,2037640.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627669521.0,32400.0,1651810.0,Airai,200,125.4092,-8.9266,287.2,286.49,287.2,287.2,1014.0,70.0,1014.0,858.0,0.97,99.0,1.57,68.0,TL,1627681983.0,1627724179.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669521.0,7200.0,962367.0,Richards Bay,200,32.0377,-28.783,289.96,289.76,289.96,289.96,1032.0,79.0,1032.0,1031.0,2.82,30.0,3.26,3.0,ZA,1627619787.0,1627658395.0,,,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669521.0,28800.0,1622318.0,Waingapu,200,120.2641,-9.6567,295.79,296.28,295.79,295.79,1014.0,83.0,1014.0,1008.0,2.78,193.0,3.1,5.0,ID,1627683276.0,1627725354.0,,,,,
"[{'id': 721, 'main': 'Haze', 'description': 'haze', 'icon': '50d'}]",stations,4828.0,1627669521.0,-18000.0,5044290.0,Saint Anthony,200,-93.218,45.0205,297.67,297.54,295.75,299.4,1021.0,52.0,,,2.57,300.0,,1.0,US,1627642570.0,1627695734.0,2.0,2011097.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627669521.0,43200.0,2206939.0,Bluff,200,168.3333,-46.6,281.93,280.3,281.93,281.93,1011.0,92.0,1011.0,1008.0,2.83,225.0,4.79,100.0,NZ,1627675776.0,1627709782.0,2.0,2008959.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627669521.0,28800.0,1794209.0,Simao,200,100.9748,22.7886,292.01,292.48,292.01,292.01,1006.0,97.0,1006.0,864.0,0.86,161.0,0.86,100.0,CN,1627685200.0,1627732690.0,,,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,7000.0,1627669521.0,28800.0,1735106.0,George Town,200,100.3354,5.4112,298.43,299.36,298.11,298.65,1011.0,90.0,,,1.03,0.0,,40.0,MY,1627686857.0,1627731340.0,2.0,2037578.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669522.0,36000.0,2177069.0,Ballina,200,153.5667,-28.8667,278.19,278.19,276.17,281.36,1019.0,100.0,,,0.0,0.0,,0.0,AU,1627677004.0,1627715642.0,1.0,9496.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669522.0,43200.0,2122090.0,Pevek,200,170.3133,69.7008,273.68,267.77,273.68,273.68,1013.0,90.0,1013.0,1007.0,7.36,333.0,8.27,100.0,RU,1627653901.0,1627730706.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627669522.0,25200.0,8079926.0,Labuhan,200,112.2051,-6.8844,298.09,298.83,298.09,298.09,1012.0,84.0,1012.0,1012.0,4.23,182.0,6.32,15.0,ID,1627684987.0,1627727512.0,,,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627669522.0,-10800.0,3874787.0,Punta Arenas,200,-70.9167,-53.15,278.21,272.61,278.16,278.21,1002.0,65.0,,,10.8,260.0,,20.0,CL,1627648141.0,1627679459.0,1.0,8487.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669522.0,-18000.0,3932145.0,Pisco,200,-76.2167,-13.7,291.18,291.05,290.94,291.18,1014.0,77.0,,,6.17,230.0,,75.0,PE,1627644372.0,1627685772.0,1.0,8691.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669281.0,16200.0,137268.0,Sūsangerd,200,48.1831,31.5608,312.16,309.18,312.16,312.16,995.0,10.0,995.0,993.0,3.74,291.0,3.96,0.0,IR,1627610519.0,1627659914.0,1.0,7451.0,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627669522.0,36000.0,2163355.0,Hobart,200,147.3294,-42.8794,284.7,283.58,283.21,285.52,998.0,64.0,,,0.45,68.0,0.89,57.0,AU,1627680216.0,1627715423.0,2.0,2002195.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627669522.0,7200.0,3359638.0,Walvis Bay,200,14.5053,-22.9575,300.68,299.43,293.2,300.68,1019.0,12.0,,,5.66,180.0,,0.0,NA,1627623421.0,1627663177.0,1.0,2288.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627668841.0,10800.0,108410.0,Riyadh,200,46.7219,24.6877,313.23,310.4,313.23,313.23,999.0,11.0,999.0,934.0,2.62,46.0,4.67,100.0,SA,1627611610.0,1627659524.0,1.0,7424.0,,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627669523.0,-25200.0,5744253.0,Oregon City,200,-122.6068,45.3573,301.78,301.93,300.05,305.58,1012.0,46.0,,,1.34,32.0,4.02,1.0,US,1627649569.0,1627702841.0,2.0,2006206.0,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627669523.0,14400.0,286245.0,Sur,200,59.5289,22.5667,306.56,311.24,306.56,306.56,998.0,53.0,998.0,997.0,8.53,202.0,11.41,100.0,OM,1627608745.0,1627656242.0,,,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,10000.0,1627669523.0,36000.0,2155415.0,New Norfolk,200,147.0587,-42.7826,283.97,282.73,283.01,285.33,1000.0,62.0,,,0.89,121.0,2.68,83.0,AU,1627680267.0,1627715503.0,2.0,2031307.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",stations,10000.0,1627669523.0,36000.0,2065594.0,Mount Isa,200,139.5,-20.7333,295.35,294.51,295.35,295.35,1013.0,34.0,1013.0,972.0,3.38,20.0,3.49,11.0,AU,1627679600.0,1627719798.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627669523.0,-10800.0,3461465.0,Iguape,200,-47.5553,-24.7081,287.38,286.35,287.38,287.38,1028.0,57.0,1028.0,1028.0,2.77,175.0,3.78,86.0,BR,1627638476.0,1627677910.0,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627669523.0,14400.0,935215.0,Saint-Philippe,200,55.7679,-21.3585,292.29,292.45,291.6,292.92,1028.0,84.0,1028.0,1021.0,7.09,101.0,7.89,49.0,RE,1627613373.0,1627653419.0,1.0,2127.0,,0.41,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627669523.0,-14400.0,3374083.0,Bathsheba,200,-59.5167,13.2167,304.49,310.43,304.49,304.49,1014.0,66.0,,,8.23,100.0,,40.0,BB,1627638171.0,1627683957.0,1.0,8772.0,,,
"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,10000.0,1627669523.0,-14400.0,5177396.0,Worthington,200,-83.018,40.0931,299.51,299.51,297.68,300.87,1017.0,60.0,,,0.89,153.0,1.79,20.0,US,1627640913.0,1627692495.0,2.0,2037509.0,,,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669523.0,-14400.0,3894426.0,Coyhaique,200,-72.0662,-45.5752,277.13,275.27,277.12,279.49,1016.0,75.0,,,2.06,230.0,,75.0,CL,1627646923.0,1627681228.0,1.0,8491.0,,,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",stations,10000.0,1627669523.0,36000.0,2094342.0,Kavieng,200,150.7967,-2.5744,300.57,303.5,300.57,300.57,1009.0,77.0,1009.0,1008.0,2.6,92.0,2.88,25.0,PG,1627675382.0,1627718593.0,,,,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627669275.0,28800.0,1819729.0,Hong Kong,200,114.1577,22.2855,301.96,308.96,301.07,302.77,1003.0,92.0,,,0.45,135.0,1.34,100.0,HK,1627682083.0,1627729479.0,2.0,2035800.0,,0.21,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,10000.0,1627669524.0,-7200.0,3421765.0,Nanortalik,200,-45.2371,60.1432,282.71,279.84,282.71,282.71,1004.0,68.0,1004.0,1004.0,5.97,68.0,8.36,100.0,GL,1627626994.0,1627688279.0,,,,0.13,
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627669524.0,-21600.0,3652764.0,Puerto Ayora,200,-90.3518,-0.7393,296.23,296.92,296.23,297.13,1012.0,89.0,,,3.58,143.0,5.81,78.0,EC,1627646713.0,1627690215.0,2.0,2005652.0,,,
