weather,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,wind.speed,wind.deg,clouds.all,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,main.sea_level,main.grnd_level,wind.gust,message,rain.1h
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627749748.0,-18000.0,3932145.0,Pisco,200,-76.2167,-13.7,64.45,63.99,64.45,65.01,1016.0,72.0,8.05,270.0,90.0,1.0,8691.0,PE,1627730754.0,1627772185.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627749749.0,-10800.0,3466704.0,Castro,200,-50.0119,-24.7911,56.57,54.28,56.57,56.57,1026.0,50.0,7.58,83.0,100.0,,,BR,1627725441.0,1627764920.0,1026.0,912.0,9.15,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749751.0,43200.0,2206939.0,Bluff,200,168.3333,-46.6,47.8,47.8,47.8,47.8,1010.0,96.0,1.88,225.0,100.0,2.0,2008959.0,NZ,1627762101.0,1627796253.0,1010.0,1007.0,3.83,,
"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,10000.0,1627749601.0,-28800.0,5880054.0,Barrow,200,-156.7887,71.2906,46.42,41.47,46.42,46.42,1005.0,96.0,10.36,100.0,90.0,1.0,7649.0,US,0.0,0.0,,,,,0.25
"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",stations,10000.0,1627749753.0,-14400.0,3664525.0,Codajás,200,-62.0569,-3.8367,92.89,91.81,92.89,92.89,1014.0,31.0,2.77,139.0,77.0,,,BR,1627726564.0,1627769579.0,1014.0,1010.0,5.53,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,10000.0,1627749754.0,-14400.0,5122534.0,Jamestown,200,-79.2353,42.097,68.79,68.32,65.84,70.02,1016.0,63.0,3.0,25.0,1.0,2.0,2008828.0,US,1627726160.0,1627778228.0,,,5.01,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,10000.0,1627749525.0,-14400.0,3893726.0,Constitución,200,-72.4167,-35.3333,58.23,56.75,58.23,58.23,1022.0,64.0,8.75,202.0,100.0,,,CL,1627731922.0,1627769193.0,1022.0,1019.0,12.93,,
"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,10000.0,1627749644.0,7200.0,964420.0,Port Elizabeth,200,25.5701,-33.918,62.89,61.65,62.89,64.09,1023.0,59.0,5.75,200.0,0.0,1.0,1973.0,ZA,1627708254.0,1627745829.0,,,,,
,,,,,,,404,,,,,,,,,,,,,,,,,,,,city not found,
"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,10000.0,1627749759.0,-14400.0,5924351.0,Clyde River,200,-68.5914,70.4692,48.43,44.83,48.43,48.43,1013.0,76.0,8.05,10.0,40.0,1.0,776.0,CA,1627709774.0,1627789505.0,,,,,
"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,10000.0,1627749760.0,7200.0,3366880.0,Hermanus,200,19.2345,-34.4187,54.81,53.83,54.81,60.91,1023.0,82.0,1.72,294.0,100.0,2.0,2006131.0,ZA,1627709831.0,1627747292.0,1023.0,1020.0,1.95,,
